City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
466,Ligayan,PH,84.72,scattered clouds,4.65,119.47,
469,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
470,Zacualpan,MX,82.4,overcast clouds,21.25,-105.17,La Colorada B&B
474,Kloulklubed,PW,87.8,shower rain,7.04,134.26,Storyboard Beach Resort
476,Lom Sak,TH,86.0,scattered clouds,16.78,101.24,บ้านวรฉัตร หล่มสัก
481,Port Blair,IN,85.75,overcast clouds,11.67,92.75,Fortune Resort Bay Island
485,Hachinohe,JP,87.8,broken clouds,40.5,141.5,Hachinohe Grand Hotel
486,Bijie,CN,77.83,clear sky,27.31,105.29,Four Points by Sheraton Bijie
488,Sibu,MY,82.4,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
495,Charters Towers,AU,79.12,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
501,Gorontalo,ID,87.84,broken clouds,0.54,123.06,Maqna Hotel by Prasanthi
502,Neiafu,TO,80.6,scattered clouds,-18.65,-173.98,Mystic Sands
504,Mutis,CO,77.72,light rain,6.23,-77.4,Paraiso Escondido
510,Pozo Colorado,PY,78.39,clear sky,-23.49,-58.8,Hospedaje la Amistad
513,Puerto Carreno,CO,77.32,few clouds,6.19,-67.49,Casa Hotel Victoria
514,Statesboro,US,84.2,clear sky,32.45,-81.78,Holiday Inn Statesboro-University Area
515,Siirt,TR,77.18,clear sky,37.93,41.94,Barden Otel
518,Wadi Maliz,TN,82.4,few clouds,36.47,8.55,HOPITAL
519,Ikauna,IN,86.76,clear sky,27.55,81.97,लोनियन पुरवा चौराहा
520,Itarema,BR,77.7,clear sky,-2.92,-39.92,Windvillage
522,Baherden,TM,81.41,clear sky,38.44,57.43,
523,Laem Sing,TH,90.0,few clouds,12.48,102.07,Laemsing Whitehouse Resort
527,Robertsport,LR,75.88,light rain,6.75,-11.37,Kwepunha Retreat
530,Abu Samrah,SY,75.52,clear sky,35.3,37.18,
534,Dalbandin,PK,85.62,clear sky,28.89,64.41,Police station anti NARCOTICS FORCE
536,Bac Lieu,VN,88.39,broken clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
540,Laguna,US,81.0,smoke,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
543,Hato Mayor,DO,82.4,scattered clouds,18.76,-69.26,Aparta Hotel Don Olivo
551,Winnemucca,US,75.2,few clouds,40.97,-117.74,Winners Inn Casino
552,Kapit,MY,84.74,broken clouds,2.02,112.93,Hotel Meligai Kapit
562,Atambua,ID,85.73,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
564,Cabo San Lucas,MX,79.0,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
566,Dakar,SN,82.4,broken clouds,14.69,-17.44,Novotel Dakar
569,Shimoda,JP,89.6,few clouds,34.67,138.95,Shimoda Tokyu Hotel
572,Buraydah,SA,78.8,scattered clouds,26.33,43.98,Mövenpick Hotel Qassim
579,Awbari,LY,78.15,clear sky,26.59,12.78,فندق أوباري
586,Markapur,IN,85.73,overcast clouds,15.73,79.28,VIHARI GRAND INN
587,Garowe,SO,76.51,broken clouds,8.41,48.48,Curubo Hotel
589,Princeton,US,84.2,clear sky,25.54,-80.41,American Best Inn
590,La Asuncion,VE,84.2,few clouds,11.03,-63.86,Colinas de Matasiete
595,Saint-Georges,GD,82.4,few clouds,12.06,-61.75,Siesta Hotel
596,Avera,US,78.8,clear sky,33.19,-82.53,
597,Luwuk,ID,85.19,broken clouds,-0.95,122.79,Hotel Santika Luwuk
600,Oranjestad,AW,84.2,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
601,Caruray,PH,85.23,moderate rain,10.31,119.01,
604,Praia Da Vitoria,PT,77.0,scattered clouds,38.73,-27.07,Hotel Branco I
606,Manavalakurichi,IN,86.0,few clouds,8.13,77.3,Udaya Boys Hostel
609,Sabha,LY,79.59,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
619,Gharo,PK,84.2,smoke,24.74,67.59,Fotis Lodge
621,Iranshahr,IR,86.0,clear sky,27.2,60.68,کافی نت دانشگاه
622,Assomada,CV,78.8,scattered clouds,15.1,-23.68,Residencial Cosmos
623,Urumqi,CN,75.99,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
625,Marsh Harbour,BS,84.16,overcast clouds,26.54,-77.06,Abaco Beach Resort
627,Yarada,IN,86.0,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
628,Hukay,PH,84.72,overcast clouds,13.85,120.7,Our Hideaway Beach House
634,Shreveport,US,82.4,clear sky,32.53,-93.75,Eldorado Resort Casino Shreveport
641,Crotone,IT,76.75,clear sky,39.09,17.12,Helios Hotel
644,Shingu,JP,87.8,scattered clouds,33.73,135.98,Shingu UI Hotel
645,Bundaberg,AU,75.99,few clouds,-24.85,152.35,Takalvan Motel
646,Kieta,PG,84.04,light rain,-6.22,155.63,
651,Shwebo,MM,87.44,overcast clouds,22.57,95.7,MOON SHINE Guest House
652,Bansi,IN,86.34,clear sky,27.18,82.93,Urvasi Hotel
654,Beipiao,CN,76.32,few clouds,41.79,120.78,Beipiao Hotel
659,Ndioum,SN,84.2,few clouds,16.51,-14.65,l'hôtel samassa
662,Key Biscayne,US,84.99,scattered clouds,25.69,-80.16,"The Ritz-Carlton Key Biscayne, Miami"
663,Korla,CN,75.0,scattered clouds,41.76,86.15,Gulisitan Hotel
664,Kavaratti,IN,80.6,broken clouds,10.57,72.64,Bismillah Hotel And Lodging
665,Savannah Bight,HN,84.74,few clouds,16.45,-85.85,Villa on Dunbar Rock
671,Balkanabat,TM,86.38,clear sky,39.51,54.37,Nebitchi Hotel
673,Marsa Matruh,EG,77.0,clear sky,31.35,27.25,Beau Site
674,Keti Bandar,PK,83.73,overcast clouds,24.14,67.45,Haji laloo memon house
675,North Myrtle Beach,US,84.2,broken clouds,33.82,-78.68,Avista Resort
678,Valenca Do Piaui,BR,75.74,clear sky,-6.41,-41.75,GN Hotel
682,Enshi,CN,87.75,clear sky,30.3,109.48,Moevenpick Enshi
